V1 path,V1 responsibility,V2 destination,Transformation rule,Migration phase,Deletion gate
core/s11_risk_archive.py,Atomic flat-date Risk/Colossus/Market archives and historical readers.,"application/ports/history_repository.py; adapters/history/{schemas,parquet,manifests,legacy_*}.py; jobs/*","Keep legacy reader for compatibility, add Parquet repository behind same port, publish commit manifests last.",7,CSV and Parquet repositories return identical query results.
feeds/s01_sources.py,"All site connectors, fake CSV fallbacks, senders and refresh-manager composition in one file.",composition/adapter_factory.py; adapters/production/*; adapters/fake/*,Split by external system and product family. No pipeline calculations inside adapters.,2,Every V1 public connector contract has one V2 port implementation.
adapters/s01_common.py,Shared adapter validation and recovered helper boundaries.,adapters/production/common.py; domain/common/validation.py,Move source-independent validation into domain; leave transport helpers in adapters.,2,Adapter contract tests pass.
adapters/s02_ir.py,IR product connector examples and product-specific processing.,adapters/production/risk/ir.py; adapters/production/market/ir.py; domain/products/ir.py,Split I/O from product metadata and calculation hooks.,2,IR Delta/DeltaVega contract and tenor-order tests pass.
adapters/s03_fx.py,FX Delta/Gamma/Vega connectors and recovered private builders.,adapters/production/risk/fx.py; adapters/production/market/fx.py; domain/products/fx.py,Preserve batch FX Delta behavior. Do not convert batch calls into per-pair loops.,2,Batch-call count and FX formula tests pass.
adapters/s04_credit.py,Credit Delta/Vega connectors and credit measure handling.,adapters/production/risk/credit.py; adapters/production/market/credit.py; domain/products/credit.py,Retain optional measure completeness rules and explicit unavailable values.,2,Credit measure completeness tests pass.
adapters/s05_stock.py,Replaceable GetStock boundary and fake rows.,adapters/production/stock/source.py; adapters/fake/stock.py,Implement StockSource port twice; keep fake and production isolated.,2,Exact Stock schema test passes.
adapters/s06_new_positions.py,Raw New Positions/New Trades blotter.,adapters/production/risk/new_positions.py; adapters/fake/scenarios.py,Keep connector grain and execution metadata; domain converts to released rows.,2,Raw adapter schema tests pass.
adapters/s07_cross_gamma.py,Raw cross gamma sensitivity matrix.,adapters/production/risk/cross_gamma.py; adapters/fake/scenarios.py,Keep portfolio-level source matrix separate from developed output.,2,Matrix validation tests pass.
adapters/s08_commo.py,Commodity connector example.,adapters/production/risk/commodities.py; adapters/production/market/commodities.py; domain/products/commodities.py,Split I/O and product definition. Keep Commo feature flag.,2,Commodity enabled/disabled tests pass.
ui/s01_contracts.py,Protocols keeping UI independent from concrete manager.,application/services/*; pages/*/service.py; application/ports/*,Move contracts down to application ports/services; pages receive narrow services.,4,Architecture test rejects concrete adapter imports in pages.
ui/s02_constants.py,"Hard-coded dimensions, hierarchy groups, metrics, Top Book labels and UI defaults.",domain/risk/pivot.py; pages/risk/state.py; shared/formatting/*,Replace hard-coded hierarchy toggles with a validated PivotSpec and field catalog. Keep display labels separate.,6,PivotSpec validation and default-view tests pass.
ui/s03_aggregate.py,"Display preparation, filtering, hierarchy aggregation, filtered promotion recalculation and tenor detail.","domain/risk/{filters,aggregation,hierarchy,pivot}.py; domain/promotion/calculator.py; application/queries/risk_pivot_query.py",Move pure logic out of UI. Ordinary filter callbacks must not recalculate promotion.,4,V1 aggregate fixtures match V2 query results.
ui/s04_components.py,"Monolithic builders for shell, Risk, Quick Search, Quick Market, history, Top Book and details.",pages/risk/*; pages/data/*; shared/components/*; shared/browser/*,Split by page feature. Replace Top Book builder with flat Top Promotions. Move historical Market to Data page.,5-7,Component ownership and visual contract tests pass.
ui/s05_staticdata.py,Approved static dataset selector/table.,"pages/statics/{service,table,callbacks,layout}.py",Keep path safety; make Statics page own all callbacks.,8,Static dataset allow-list tests pass.
ui/s06_plview.py,"P&L page layout, filter bar, aggregate, send and editor sections.",pages/pnl/*; shared/components/*,Split each feature into page-owned module; preserve one authoritative page filter state.,8,P&L page parity tests pass.
ui/s07_events.py,Startup coordinator plus Risk/search/date callbacks in one large file.,pages/shell/callbacks.py; pages/risk/**/callbacks.py; pages/data/**/callbacks.py,Move callback groups to feature packages. Shared startup remains in shell.,5-7,No cross-page callback imports; callback map smoke test passes.
ui/s08_plevents.py,"P&L filters, adjustment editors and send callbacks.","pages/pnl/{callbacks,sog_editor,portfolio_editor}.py",Retain reducer ownership and atomic adjustment behavior.,8,No duplicate Outputs and editor tests pass.
ui/s09_factory.py,"Dash/Flask construction, native pages, shared shell, routes and central registration.",composition/page_factory.py; pages/shell/*; composition/factory.py,"Keep HTTP/security/startup behavior, remove page feature imports from factory.","1,5",App factory only imports page registrars and services.
ui/s10_stock.py,"Stock page composition, cache, filters, hierarchy and source rows.",pages/stock/*; application/services/stock_service.py,Split pure comparison/query from page callbacks; preserve lazy source rows.,8,Stock page callback and cache tests pass.
ui/s11_saved_views.py,Reusable saved-view editor and callback registration.,shared/components/saved_views.py; pages/*/callbacks.py,Shared component owns markup; each page owns applying its saved state.,5,Saved state never leaks across pages.
ui/s12_plhistory.py,P&L history hierarchy and charts.,"pages/pnl/{history_tree,history_chart}.py; application/queries/pnl_history_query.py",Keep pure tree/chart construction separate from repository query.,8,Observed-series and missing-value tests pass.
ui/s13_validate_pl.py,Archive-backed Predict/Colossus validation.,pages/pnl/validation.py; domain/pnl/comparison.py,Keep six-level governed identity and nonduplicating unmapped audit.,8,Validation comparison parity passes.
ui/s14_pl_filters.py,Shared case-insensitive P&L include/exclude authority.,domain/risk/filters.py or domain/common/filtering.py; pages/pnl/state.py,Use one generic validated dimension-filter contract without sharing page state.,"4,8",Case-insensitive filter tests pass.
pages/risk.py,Thin native-page wrapper that resolves builder from Flask config.,"pages/risk/{layout,callbacks,service}.py",Turn wrapper into real package with page-owned layout and callback registrar.,5,Risk page imports no Stock/P&L page modules.
pages/stock.py,Thin wrapper.,pages/stock/*,Own Stock page end to end.,8,Page isolation test passes.
pages/pnl.py,Thin wrapper.,pages/pnl/*,Own P&L page end to end.,8,Page isolation test passes.
pages/static_data.py,Thin wrapper.,pages/statics/*,Own Statics page end to end.,8,Page isolation test passes.
assets/s01_style.css,Single large pastel visual system.,"assets/{app,cards,tables,responsive}.css",Preserve Cube visual identity but split tokens/card/table/responsive concerns.,5,Visual regression screenshots pass.
assets/s02_app.js,"Keyboard shortcuts, delegated chevrons, selection, clipboard and progress polling.",assets/clientside.js; shared/browser/*,"Keep browser-only interactions, separate by feature and avoid financial calculations.",5-7,Clientside smoke tests pass.
assets/s03_select.js,DataTable selection stability.,assets/clientside.js,Retain only while governed editors use DataTable; remove once unnecessary.,8,Editor selection tests pass.
jobs/archive_official_risk.ipynb,Thin scheduled daily archive notebook.,rebirth_v2/jobs/archive_daily.py; optional thin notebook wrapper,Make Python job authoritative; notebook only schedules/calls it.,7,Idempotent archive test passes.
data/histo/*,Legacy/official flat date CSV history.,data/history/* Parquet partitions + commits; adapters/history/legacy_*.py,Migrate incrementally. Readers support both until cutover; do not bulk rewrite in request callbacks.,7,"Date counts, row counts and checksums reconcile."
